persona,bloque,letra_objetivo,sena_a_ejecutar,resultado,intentos,notas
P5,correcta,C,C,,,
P5,correcta,H,H,,,
P5,correcta,L,L,,,
P5,correcta,W,W,,,
P5,correcta,S,S,,,
P5,correcta,Q,Q,,,
P5,correcta,F,F,,,
P5,correcta,R,R,,,
P5,correcta,Y,Y,,,
P5,correcta,J,J,,,
P5,correcta,K,K,,,
P5,correcta,D,D,,,
P5,correcta,F,F,,,
P5,correcta,I,I,,,
P5,correcta,W,W,,,
P5,correcta,J,J,,,
P5,correcta,P,P,,,
P5,correcta,N,N,,,
P5,correcta,F,F,,,
P5,correcta,W,W,,,
P5,correcta,B,B,,,
P5,correcta,T,T,,,
P5,correcta,M,M,,,
P5,correcta,R,R,,,
P5,correcta,K,K,,,
P5,correcta,V,V,,,
P5,correcta,D,D,,,
P5,correcta,J,J,,,
P5,correcta,Q,Q,,,
P5,correcta,A,A,,,
P5,correcta,G,G,,,
P5,correcta,N,N,,,
P5,correcta,X,X,,,
P5,correcta,V,V,,,
P5,correcta,D,D,,,
P5,correcta,N,N,,,
P5,correcta,O,O,,,
P5,correcta,M,M,,,
P5,correcta,O,O,,,
P5,correcta,E,E,,,
P5,correcta,I,I,,,
P5,correcta,M,M,,,
P5,correcta,E,E,,,
P5,correcta,U,U,,,
P5,correcta,H,H,,,
P5,correcta,C,C,,,
P5,correcta,A,A,,,
P5,correcta,T,T,,,
P5,correcta,P,P,,,
P5,correcta,P,P,,,
P5,correcta,L,L,,,
P5,correcta,B,B,,,
P5,correcta,V,V,,,
P5,correcta,G,G,,,
P5,correcta,G,G,,,
P5,correcta,X,X,,,
P5,correcta,K,K,,,
P5,correcta,S,S,,,
P5,correcta,X,X,,,
P5,correcta,S,S,,,
P5,correcta,Q,Q,,,
P5,correcta,E,E,,,
P5,correcta,R,R,,,
P5,correcta,T,T,,,
P5,correcta,H,H,,,
P5,correcta,C,C,,,
P5,correcta,U,U,,,
P5,correcta,A,A,,,
P5,correcta,Y,Y,,,
P5,correcta,Y,Y,,,
P5,correcta,U,U,,,
P5,correcta,L,L,,,
P5,correcta,B,B,,,
P5,correcta,O,O,,,
P5,correcta,I,I,,,
P5,confusion,J,I,,,
P5,confusion,W,T,,,
P5,confusion,G,X,,,
P5,confusion,D,O,,,
P5,confusion,D,O,,,
P5,confusion,N,NN,,,
P5,confusion,T,H,,,
P5,confusion,I,J,,,
P5,confusion,V,R,,,
P5,confusion,N,NN,,,
P5,confusion,S,G,,,
P5,confusion,H,R,,,
P5,confusion,S,G,,,
P5,confusion,U,Y,,,
P5,confusion,N,NN,,,
P5,confusion,A,Y,,,
P5,confusion,M,N,,,
P5,confusion,P,NN,,,
P5,confusion,P,NN,,,
P5,confusion,F,L,,,
P5,confusion,K,G,,,
P5,confusion,E,C,,,
P5,confusion,I,J,,,
P5,confusion,K,G,,,
P5,confusion,H,R,,,
P5,confusion,O,C,,,
P5,confusion,J,I,,,
P5,confusion,O,C,,,
P5,confusion,X,G,,,
P5,confusion,B,T,,,
P5,confusion,T,H,,,
P5,confusion,D,O,,,
P5,confusion,F,L,,,
P5,confusion,A,Y,,,
P5,confusion,S,G,,,
P5,confusion,Y,U,,,
P5,confusion,M,N,,,
P5,confusion,G,X,,,
P5,confusion,C,E,,,
P5,confusion,E,C,,,
P5,confusion,X,G,,,
P5,confusion,L,F,,,
P5,confusion,K,G,,,
P5,confusion,R,S,,,
P5,confusion,X,G,,,
P5,confusion,V,R,,,
P5,confusion,A,Y,,,
P5,confusion,U,Y,,,
P5,confusion,R,S,,,
P5,confusion,C,E,,,
P5,confusion,J,I,,,
P5,confusion,C,E,,,
P5,confusion,B,T,,,
P5,confusion,E,C,,,
P5,confusion,B,T,,,
P5,confusion,W,T,,,
P5,confusion,R,S,,,
P5,confusion,V,R,,,
P5,confusion,H,R,,,
P5,confusion,Y,U,,,
P5,confusion,Q,T,,,
P5,confusion,F,L,,,
P5,confusion,Q,T,,,
P5,confusion,M,N,,,
P5,confusion,U,Y,,,
P5,confusion,Q,T,,,
P5,confusion,T,H,,,
P5,confusion,W,T,,,
P5,confusion,G,X,,,
P5,confusion,Y,U,,,
P5,confusion,O,C,,,
P5,confusion,L,F,,,
P5,confusion,P,NN,,,
P5,confusion,L,F,,,
P5,confusion,I,J,,,
