persona,bloque,letra_objetivo,sena_a_ejecutar,resultado,intentos,notas
P1,correcta,W,W,,,
P1,correcta,J,J,,,
P1,correcta,L,L,,,
P1,correcta,I,I,,,
P1,correcta,H,H,,,
P1,correcta,N,N,,,
P1,correcta,A,A,,,
P1,correcta,S,S,,,
P1,correcta,U,U,,,
P1,correcta,Q,Q,,,
P1,correcta,S,S,,,
P1,correcta,O,O,,,
P1,correcta,I,I,,,
P1,correcta,G,G,,,
P1,correcta,B,B,,,
P1,correcta,I,I,,,
P1,correcta,U,U,,,
P1,correcta,F,F,,,
P1,correcta,C,C,,,
P1,correcta,J,J,,,
P1,correcta,W,W,,,
P1,correcta,Y,Y,,,
P1,correcta,R,R,,,
P1,correcta,N,N,,,
P1,correcta,B,B,,,
P1,correcta,A,A,,,
P1,correcta,J,J,,,
P1,correcta,T,T,,,
P1,correcta,A,A,,,
P1,correcta,O,O,,,
P1,correcta,T,T,,,
P1,correcta,X,X,,,
P1,correcta,G,G,,,
P1,correcta,V,V,,,
P1,correcta,S,S,,,
P1,correcta,K,K,,,
P1,correcta,M,M,,,
P1,correcta,H,H,,,
P1,correcta,Y,Y,,,
P1,correcta,P,P,,,
P1,correcta,F,F,,,
P1,correcta,D,D,,,
P1,correcta,K,K,,,
P1,correcta,Q,Q,,,
P1,correcta,F,F,,,
P1,correcta,O,O,,,
P1,correcta,R,R,,,
P1,correcta,T,T,,,
P1,correcta,B,B,,,
P1,correcta,L,L,,,
P1,correcta,K,K,,,
P1,correcta,D,D,,,
P1,correcta,Y,Y,,,
P1,correcta,X,X,,,
P1,correcta,Q,Q,,,
P1,correcta,C,C,,,
P1,correcta,M,M,,,
P1,correcta,X,X,,,
P1,correcta,D,D,,,
P1,correcta,U,U,,,
P1,correcta,N,N,,,
P1,correcta,P,P,,,
P1,correcta,H,H,,,
P1,correcta,G,G,,,
P1,correcta,L,L,,,
P1,correcta,V,V,,,
P1,correcta,P,P,,,
P1,correcta,E,E,,,
P1,correcta,R,R,,,
P1,correcta,E,E,,,
P1,correcta,E,E,,,
P1,correcta,W,W,,,
P1,correcta,M,M,,,
P1,correcta,V,V,,,
P1,correcta,C,C,,,
P1,confusion,K,G,,,
P1,confusion,C,E,,,
P1,confusion,C,E,,,
P1,confusion,U,Y,,,
P1,confusion,O,C,,,
P1,confusion,U,Y,,,
P1,confusion,W,T,,,
P1,confusion,K,G,,,
P1,confusion,C,E,,,
P1,confusion,F,L,,,
P1,confusion,L,F,,,
P1,confusion,B,T,,,
P1,confusion,N,NN,,,
P1,confusion,I,J,,,
P1,confusion,K,G,,,
P1,confusion,V,R,,,
P1,confusion,B,T,,,
P1,confusion,M,N,,,
P1,confusion,S,G,,,
P1,confusion,F,L,,,
P1,confusion,M,N,,,
P1,confusion,Q,T,,,
P1,confusion,A,Y,,,
P1,confusion,G,X,,,
P1,confusion,T,H,,,
P1,confusion,R,S,,,
P1,confusion,D,O,,,
P1,confusion,F,L,,,
P1,confusion,M,N,,,
P1,confusion,L,F,,,
P1,confusion,I,J,,,
P1,confusion,R,S,,,
P1,confusion,T,H,,,
P1,confusion,P,NN,,,
P1,confusion,I,J,,,
P1,confusion,A,Y,,,
P1,confusion,D,O,,,
P1,confusion,J,I,,,
P1,confusion,Y,U,,,
P1,confusion,N,NN,,,
P1,confusion,R,S,,,
P1,confusion,U,Y,,,
P1,confusion,E,C,,,
P1,confusion,W,T,,,
P1,confusion,J,I,,,
P1,confusion,L,F,,,
P1,confusion,B,T,,,
P1,confusion,X,G,,,
P1,confusion,D,O,,,
P1,confusion,J,I,,,
P1,confusion,Y,U,,,
P1,confusion,A,Y,,,
P1,confusion,E,C,,,
P1,confusion,H,R,,,
P1,confusion,N,NN,,,
P1,confusion,W,T,,,
P1,confusion,S,G,,,
P1,confusion,O,C,,,
P1,confusion,S,G,,,
P1,confusion,P,NN,,,
P1,confusion,Q,T,,,
P1,confusion,O,C,,,
P1,confusion,G,X,,,
P1,confusion,Y,U,,,
P1,confusion,P,NN,,,
P1,confusion,G,X,,,
P1,confusion,V,R,,,
P1,confusion,E,C,,,
P1,confusion,X,G,,,
P1,confusion,H,R,,,
P1,confusion,H,R,,,
P1,confusion,T,H,,,
P1,confusion,V,R,,,
P1,confusion,Q,T,,,
P1,confusion,X,G,,,
