persona,bloque,letra_objetivo,sena_a_ejecutar,resultado,intentos,notas
P2,correcta,K,K,,,
P2,correcta,B,B,,,
P2,correcta,U,U,,,
P2,correcta,V,V,,,
P2,correcta,W,W,,,
P2,correcta,N,N,,,
P2,correcta,C,C,,,
P2,correcta,T,T,,,
P2,correcta,V,V,,,
P2,correcta,Y,Y,,,
P2,correcta,J,J,,,
P2,correcta,U,U,,,
P2,correcta,G,G,,,
P2,correcta,R,R,,,
P2,correcta,R,R,,,
P2,correcta,O,O,,,
P2,correcta,Q,Q,,,
P2,correcta,Q,Q,,,
P2,correcta,L,L,,,
P2,correcta,R,R,,,
P2,correcta,S,S,,,
P2,correcta,V,V,,,
P2,correcta,C,C,,,
P2,correcta,A,A,,,
P2,correcta,X,X,,,
P2,correcta,P,P,,,
P2,correcta,J,J,,,
P2,correcta,X,X,,,
P2,correcta,P,P,,,
P2,correcta,N,N,,,
P2,correcta,M,M,,,
P2,correcta,F,F,,,
P2,correcta,U,U,,,
P2,correcta,M,M,,,
P2,correcta,F,F,,,
P2,correcta,H,H,,,
P2,correcta,M,M,,,
P2,correcta,L,L,,,
P2,correcta,E,E,,,
P2,correcta,S,S,,,
P2,correcta,I,I,,,
P2,correcta,G,G,,,
P2,correcta,T,T,,,
P2,correcta,W,W,,,
P2,correcta,L,L,,,
P2,correcta,C,C,,,
P2,correcta,I,I,,,
P2,correcta,S,S,,,
P2,correcta,K,K,,,
P2,correcta,P,P,,,
P2,correcta,X,X,,,
P2,correcta,G,G,,,
P2,correcta,I,I,,,
P2,correcta,D,D,,,
P2,correcta,J,J,,,
P2,correcta,Y,Y,,,
P2,correcta,F,F,,,
P2,correcta,D,D,,,
P2,correcta,K,K,,,
P2,correcta,O,O,,,
P2,correcta,E,E,,,
P2,correcta,A,A,,,
P2,correcta,D,D,,,
P2,correcta,O,O,,,
P2,correcta,H,H,,,
P2,correcta,T,T,,,
P2,correcta,H,H,,,
P2,correcta,N,N,,,
P2,correcta,B,B,,,
P2,correcta,Q,Q,,,
P2,correcta,W,W,,,
P2,correcta,A,A,,,
P2,correcta,Y,Y,,,
P2,correcta,B,B,,,
P2,correcta,E,E,,,
P2,confusion,K,G,,,
P2,confusion,X,G,,,
P2,confusion,U,Y,,,
P2,confusion,P,NN,,,
P2,confusion,S,G,,,
P2,confusion,I,J,,,
P2,confusion,A,Y,,,
P2,confusion,C,E,,,
P2,confusion,G,X,,,
P2,confusion,H,R,,,
P2,confusion,B,T,,,
P2,confusion,F,L,,,
P2,confusion,D,O,,,
P2,confusion,P,NN,,,
P2,confusion,L,F,,,
P2,confusion,E,C,,,
P2,confusion,O,C,,,
P2,confusion,R,S,,,
P2,confusion,K,G,,,
P2,confusion,N,NN,,,
P2,confusion,Y,U,,,
P2,confusion,M,N,,,
P2,confusion,U,Y,,,
P2,confusion,T,H,,,
P2,confusion,F,L,,,
P2,confusion,D,O,,,
P2,confusion,A,Y,,,
P2,confusion,V,R,,,
P2,confusion,H,R,,,
P2,confusion,O,C,,,
P2,confusion,G,X,,,
P2,confusion,E,C,,,
P2,confusion,Q,T,,,
P2,confusion,O,C,,,
P2,confusion,L,F,,,
P2,confusion,S,G,,,
P2,confusion,B,T,,,
P2,confusion,J,I,,,
P2,confusion,C,E,,,
P2,confusion,E,C,,,
P2,confusion,B,T,,,
P2,confusion,G,X,,,
P2,confusion,W,T,,,
P2,confusion,W,T,,,
P2,confusion,Q,T,,,
P2,confusion,A,Y,,,
P2,confusion,K,G,,,
P2,confusion,W,T,,,
P2,confusion,T,H,,,
P2,confusion,Y,U,,,
P2,confusion,I,J,,,
P2,confusion,U,Y,,,
P2,confusion,Q,T,,,
P2,confusion,M,N,,,
P2,confusion,J,I,,,
P2,confusion,S,G,,,
P2,confusion,X,G,,,
P2,confusion,I,J,,,
P2,confusion,N,NN,,,
P2,confusion,P,NN,,,
P2,confusion,N,NN,,,
P2,confusion,V,R,,,
P2,confusion,J,I,,,
P2,confusion,L,F,,,
P2,confusion,R,S,,,
P2,confusion,R,S,,,
P2,confusion,Y,U,,,
P2,confusion,C,E,,,
P2,confusion,M,N,,,
P2,confusion,V,R,,,
P2,confusion,X,G,,,
P2,confusion,T,H,,,
P2,confusion,F,L,,,
P2,confusion,D,O,,,
P2,confusion,H,R,,,
