persona,bloque,letra_objetivo,sena_a_ejecutar,resultado,intentos,notas
P4,correcta,X,X,,,
P4,correcta,E,E,,,
P4,correcta,L,L,,,
P4,correcta,P,P,,,
P4,correcta,N,N,,,
P4,correcta,D,D,,,
P4,correcta,P,P,,,
P4,correcta,C,C,,,
P4,correcta,Y,Y,,,
P4,correcta,E,E,,,
P4,correcta,O,O,,,
P4,correcta,M,M,,,
P4,correcta,F,F,,,
P4,correcta,Y,Y,,,
P4,correcta,T,T,,,
P4,correcta,N,N,,,
P4,correcta,W,W,,,
P4,correcta,H,H,,,
P4,correcta,D,D,,,
P4,correcta,U,U,,,
P4,correcta,S,S,,,
P4,correcta,S,S,,,
P4,correcta,J,J,,,
P4,correcta,R,R,,,
P4,correcta,W,W,,,
P4,correcta,M,M,,,
P4,correcta,Q,Q,,,
P4,correcta,B,B,,,
P4,correcta,V,V,,,
P4,correcta,F,F,,,
P4,correcta,M,M,,,
P4,correcta,A,A,,,
P4,correcta,K,K,,,
P4,correcta,Q,Q,,,
P4,correcta,G,G,,,
P4,correcta,V,V,,,
P4,correcta,I,I,,,
P4,correcta,H,H,,,
P4,correcta,S,S,,,
P4,correcta,W,W,,,
P4,correcta,H,H,,,
P4,correcta,O,O,,,
P4,correcta,A,A,,,
P4,correcta,C,C,,,
P4,correcta,G,G,,,
P4,correcta,R,R,,,
P4,correcta,B,B,,,
P4,correcta,I,I,,,
P4,correcta,C,C,,,
P4,correcta,R,R,,,
P4,correcta,Q,Q,,,
P4,correcta,X,X,,,
P4,correcta,J,J,,,
P4,correcta,G,G,,,
P4,correcta,K,K,,,
P4,correcta,T,T,,,
P4,correcta,J,J,,,
P4,correcta,P,P,,,
P4,correcta,L,L,,,
P4,correcta,A,A,,,
P4,correcta,V,V,,,
P4,correcta,Y,Y,,,
P4,correcta,L,L,,,
P4,correcta,F,F,,,
P4,correcta,U,U,,,
P4,correcta,N,N,,,
P4,correcta,T,T,,,
P4,correcta,I,I,,,
P4,correcta,D,D,,,
P4,correcta,X,X,,,
P4,correcta,O,O,,,
P4,correcta,B,B,,,
P4,correcta,E,E,,,
P4,correcta,K,K,,,
P4,correcta,U,U,,,
P4,confusion,N,NN,,,
P4,confusion,I,J,,,
P4,confusion,J,I,,,
P4,confusion,B,T,,,
P4,confusion,D,O,,,
P4,confusion,G,X,,,
P4,confusion,R,S,,,
P4,confusion,M,N,,,
P4,confusion,G,X,,,
P4,confusion,Q,T,,,
P4,confusion,T,H,,,
P4,confusion,J,I,,,
P4,confusion,T,H,,,
P4,confusion,E,C,,,
P4,confusion,I,J,,,
P4,confusion,W,T,,,
P4,confusion,O,C,,,
P4,confusion,V,R,,,
P4,confusion,Q,T,,,
P4,confusion,A,Y,,,
P4,confusion,V,R,,,
P4,confusion,V,R,,,
P4,confusion,C,E,,,
P4,confusion,L,F,,,
P4,confusion,X,G,,,
P4,confusion,K,G,,,
P4,confusion,U,Y,,,
P4,confusion,S,G,,,
P4,confusion,E,C,,,
P4,confusion,G,X,,,
P4,confusion,R,S,,,
P4,confusion,F,L,,,
P4,confusion,X,G,,,
P4,confusion,C,E,,,
P4,confusion,H,R,,,
P4,confusion,Y,U,,,
P4,confusion,U,Y,,,
P4,confusion,O,C,,,
P4,confusion,A,Y,,,
P4,confusion,T,H,,,
P4,confusion,N,NN,,,
P4,confusion,B,T,,,
P4,confusion,R,S,,,
P4,confusion,D,O,,,
P4,confusion,Q,T,,,
P4,confusion,B,T,,,
P4,confusion,H,R,,,
P4,confusion,I,J,,,
P4,confusion,K,G,,,
P4,confusion,L,F,,,
P4,confusion,P,NN,,,
P4,confusion,K,G,,,
P4,confusion,S,G,,,
P4,confusion,N,NN,,,
P4,confusion,W,T,,,
P4,confusion,Y,U,,,
P4,confusion,C,E,,,
P4,confusion,O,C,,,
P4,confusion,E,C,,,
P4,confusion,S,G,,,
P4,confusion,A,Y,,,
P4,confusion,M,N,,,
P4,confusion,P,NN,,,
P4,confusion,L,F,,,
P4,confusion,F,L,,,
P4,confusion,W,T,,,
P4,confusion,J,I,,,
P4,confusion,U,Y,,,
P4,confusion,Y,U,,,
P4,confusion,M,N,,,
P4,confusion,D,O,,,
P4,confusion,H,R,,,
P4,confusion,X,G,,,
P4,confusion,F,L,,,
P4,confusion,P,NN,,,
