persona,bloque,letra_objetivo,sena_a_ejecutar,resultado,intentos,notas
P3,correcta,V,V,,,
P3,correcta,J,J,,,
P3,correcta,W,W,,,
P3,correcta,Q,Q,,,
P3,correcta,I,I,,,
P3,correcta,E,E,,,
P3,correcta,D,D,,,
P3,correcta,G,G,,,
P3,correcta,V,V,,,
P3,correcta,N,N,,,
P3,correcta,H,H,,,
P3,correcta,O,O,,,
P3,correcta,A,A,,,
P3,correcta,C,C,,,
P3,correcta,R,R,,,
P3,correcta,S,S,,,
P3,correcta,S,S,,,
P3,correcta,A,A,,,
P3,correcta,L,L,,,
P3,correcta,Q,Q,,,
P3,correcta,Q,Q,,,
P3,correcta,U,U,,,
P3,correcta,T,T,,,
P3,correcta,N,N,,,
P3,correcta,A,A,,,
P3,correcta,W,W,,,
P3,correcta,F,F,,,
P3,correcta,Y,Y,,,
P3,correcta,X,X,,,
P3,correcta,K,K,,,
P3,correcta,H,H,,,
P3,correcta,P,P,,,
P3,correcta,M,M,,,
P3,correcta,T,T,,,
P3,correcta,P,P,,,
P3,correcta,C,C,,,
P3,correcta,U,U,,,
P3,correcta,P,P,,,
P3,correcta,M,M,,,
P3,correcta,T,T,,,
P3,correcta,H,H,,,
P3,correcta,O,O,,,
P3,correcta,G,G,,,
P3,correcta,K,K,,,
P3,correcta,O,O,,,
P3,correcta,N,N,,,
P3,correcta,R,R,,,
P3,correcta,F,F,,,
P3,correcta,I,I,,,
P3,correcta,J,J,,,
P3,correcta,I,I,,,
P3,correcta,L,L,,,
P3,correcta,M,M,,,
P3,correcta,D,D,,,
P3,correcta,E,E,,,
P3,correcta,B,B,,,
P3,correcta,C,C,,,
P3,correcta,W,W,,,
P3,correcta,S,S,,,
P3,correcta,D,D,,,
P3,correcta,E,E,,,
P3,correcta,B,B,,,
P3,correcta,G,G,,,
P3,correcta,L,L,,,
P3,correcta,Y,Y,,,
P3,correcta,Y,Y,,,
P3,correcta,X,X,,,
P3,correcta,K,K,,,
P3,correcta,U,U,,,
P3,correcta,X,X,,,
P3,correcta,B,B,,,
P3,correcta,R,R,,,
P3,correcta,F,F,,,
P3,correcta,V,V,,,
P3,correcta,J,J,,,
P3,confusion,G,X,,,
P3,confusion,A,Y,,,
P3,confusion,M,N,,,
P3,confusion,W,T,,,
P3,confusion,C,E,,,
P3,confusion,O,C,,,
P3,confusion,S,G,,,
P3,confusion,R,S,,,
P3,confusion,L,F,,,
P3,confusion,N,NN,,,
P3,confusion,C,E,,,
P3,confusion,O,C,,,
P3,confusion,D,O,,,
P3,confusion,L,F,,,
P3,confusion,K,G,,,
P3,confusion,T,H,,,
P3,confusion,U,Y,,,
P3,confusion,T,H,,,
P3,confusion,G,X,,,
P3,confusion,Q,T,,,
P3,confusion,K,G,,,
P3,confusion,J,I,,,
P3,confusion,V,R,,,
P3,confusion,I,J,,,
P3,confusion,P,NN,,,
P3,confusion,Y,U,,,
P3,confusion,B,T,,,
P3,confusion,B,T,,,
P3,confusion,E,C,,,
P3,confusion,G,X,,,
P3,confusion,R,S,,,
P3,confusion,U,Y,,,
P3,confusion,Y,U,,,
P3,confusion,F,L,,,
P3,confusion,F,L,,,
P3,confusion,L,F,,,
P3,confusion,I,J,,,
P3,confusion,I,J,,,
P3,confusion,Q,T,,,
P3,confusion,A,Y,,,
P3,confusion,K,G,,,
P3,confusion,D,O,,,
P3,confusion,H,R,,,
P3,confusion,C,E,,,
P3,confusion,H,R,,,
P3,confusion,B,T,,,
P3,confusion,P,NN,,,
P3,confusion,A,Y,,,
P3,confusion,N,NN,,,
P3,confusion,M,N,,,
P3,confusion,R,S,,,
P3,confusion,O,C,,,
P3,confusion,X,G,,,
P3,confusion,N,NN,,,
P3,confusion,S,G,,,
P3,confusion,T,H,,,
P3,confusion,Q,T,,,
P3,confusion,M,N,,,
P3,confusion,Y,U,,,
P3,confusion,F,L,,,
P3,confusion,S,G,,,
P3,confusion,J,I,,,
P3,confusion,P,NN,,,
P3,confusion,W,T,,,
P3,confusion,X,G,,,
P3,confusion,E,C,,,
P3,confusion,U,Y,,,
P3,confusion,J,I,,,
P3,confusion,X,G,,,
P3,confusion,D,O,,,
P3,confusion,E,C,,,
P3,confusion,W,T,,,
P3,confusion,V,R,,,
P3,confusion,H,R,,,
P3,confusion,V,R,,,
